FILE OF DATA FOR PAR_LINE:
Number of Lines, Columns
14 3
DATA
22.000000 241.000000 276.000000 53.000000
292.000000 90.000000 76.000000 243.000000
307.000000 123.000000 130.000000 245.000000
322.000000 157.000000 183.000000 248.000000
335.000000 187.000000 236.000000 250.000000
348.000000 216.000000 290.000000 252.000000
360.000000 242.000000 341.000000 254.000000
392.000000 256.000000 371.000000 268.000000
442.000000 258.000000 383.000000 291.000000
493.000000 259.000000 393.000000 314.000000
543.000000 262.000000 402.000000 335.000000
591.000000 264.000000 410.000000 356.000000
638.000000 265.000000 419.000000 376.000000
640.000000 289.000000 428.000000 393.000000
