FILE OF DATA FOR PAR_LINE:
Number of Lines, Columns
14 3
DATA
22.000000 241.000000 427.000000 394.000000
76.000000 243.000000 419.000000 375.000000
129.000000 245.000000 411.000000 357.000000
183.000000 247.000000 401.000000 336.000000
237.000000 250.000000 392.000000 313.000000
288.000000 251.000000 382.000000 291.000000
341.000000 254.000000 371.000000 268.000000
361.000000 243.000000 392.000000 255.000000
348.000000 215.000000 442.000000 258.000000
336.000000 187.000000 493.000000 260.000000
322.000000 156.000000 543.000000 262.000000
309.000000 124.000000 590.000000 263.000000
291.000000 89.000000 637.000000 264.000000
277.000000 54.000000 640.000000 241.000000
